technical_knowledge,problem_solving,logical_thinking,programming_coding,communication,job_readiness
4.83,5.3,6.54,6.8,5.73,Needs Improvement
5.17,1.3,1.48,4.72,3.87,Not Ready
4.72,5.38,5.35,5.16,5.5,Needs Improvement
5.97,7.03,4.15,5.97,5.24,Needs Improvement
4.02,4.71,5.81,5.41,6.18,Needs Improvement
8.35,6.19,7.26,7.15,7.62,Job Ready
7.1,6.05,6.45,6.97,6.16,Job Ready
9.94,7.35,8.56,8.53,9.55,Highly Job Ready
5.64,4.22,4.8,6.6,5.75,Needs Improvement
2.9,4.39,4.43,0.45,5.17,Not Ready
6.96,7.36,8.51,7.99,6.46,Job Ready
5.88,4.95,5.48,7.85,5.89,Needs Improvement
2.45,2.91,3.08,2.58,2.59,Not Ready
9.2,9.41,9.39,8.94,8.89,Highly Job Ready
9.07,8.44,8.78,9.19,9.42,Highly Job Ready
6.73,7.23,7.25,9.85,6.38,Job Ready
6.32,6.54,5.42,7.78,6.27,Job Ready
3.27,3.3,4.18,4.47,2.76,Not Ready
4.36,4.07,3.7,3.3,4.72,Not Ready
8.61,8.72,8.18,8.17,9.78,Highly Job Ready
4.28,5.25,5.11,3.81,1.06,Not Ready
5.75,4.23,6.3,6.16,7.61,Needs Improvement
8.34,6.62,7.23,7.4,8.6,Job Ready
4.66,3.87,2.52,4.28,4.47,Not Ready
9.99,8.68,7.89,8.31,7.73,Highly Job Ready
7.76,9.29,9.67,8.36,9.63,Highly Job Ready
5.84,6.46,6.69,6.67,5.7,Needs Improvement
5.65,7.36,5.31,6.08,8.07,Needs Improvement
6.14,6.04,6.45,7.44,5.96,Needs Improvement
8.53,6.18,6.34,6.89,6.93,Job Ready
8.81,8.98,8.39,8.85,9.2,Highly Job Ready
9.42,8.75,8.47,8.93,7.92,Highly Job Ready
8.64,9.44,10.0,9.77,9.32,Highly Job Ready
7.95,8.91,9.16,7.46,8.59,Highly Job Ready
7.8,8.29,6.44,6.98,6.24,Job Ready
4.44,4.16,4.93,2.46,6.11,Not Ready
8.03,10.0,10.0,9.86,9.63,Highly Job Ready
6.11,5.84,5.84,6.03,5.77,Needs Improvement
10.0,10.0,8.98,9.16,9.57,Highly Job Ready
4.8,4.0,7.02,5.01,5.78,Needs Improvement
6.83,5.49,5.63,5.44,3.98,Needs Improvement
5.71,6.24,7.4,8.13,6.82,Job Ready
2.81,6.63,5.87,3.33,3.38,Not Ready
4.39,3.14,5.27,3.08,3.07,Not Ready
9.63,8.72,8.57,8.37,7.62,Highly Job Ready
6.04,6.52,4.63,4.8,4.14,Needs Improvement
6.5,4.7,4.94,5.95,6.72,Needs Improvement
8.0,8.75,9.0,8.31,7.32,Job Ready
2.7,4.66,1.86,2.73,5.54,Not Ready
4.2,6.54,4.28,4.25,3.61,Not Ready
6.72,6.35,5.57,5.64,5.39,Needs Improvement
8.79,8.43,8.46,8.99,8.17,Highly Job Ready
7.65,7.3,7.54,4.83,6.67,Needs Improvement
9.04,7.69,9.12,8.27,9.63,Highly Job Ready
5.86,6.2,6.58,5.03,5.47,Needs Improvement
6.81,6.38,5.87,5.09,4.78,Needs Improvement
3.62,4.03,2.64,4.61,4.56,Not Ready
6.97,6.17,7.42,7.13,5.69,Job Ready
8.67,9.18,8.81,9.18,7.99,Highly Job Ready
5.12,6.34,8.54,8.01,8.42,Job Ready
9.37,9.93,8.42,7.61,9.12,Highly Job Ready
6.77,8.33,8.14,7.48,7.95,Job Ready
5.49,3.97,4.27,3.94,4.31,Not Ready
7.73,8.89,8.53,7.82,9.14,Highly Job Ready
8.74,8.44,7.84,7.62,7.23,Job Ready
6.37,4.94,5.55,4.03,5.33,Needs Improvement
8.63,9.79,9.27,9.22,8.0,Highly Job Ready
8.45,7.52,7.95,8.81,7.59,Highly Job Ready
4.47,3.23,1.72,3.11,2.54,Not Ready
7.18,6.37,8.51,7.63,6.7,Job Ready
7.08,8.1,5.35,4.55,3.67,Needs Improvement
5.33,8.24,7.12,8.86,5.83,Job Ready
4.32,5.24,4.72,7.48,6.63,Needs Improvement
7.79,8.96,8.77,8.88,8.82,Highly Job Ready
7.24,6.11,7.63,7.29,8.93,Job Ready
6.64,6.55,4.45,4.44,5.08,Needs Improvement
8.02,8.92,9.5,7.64,8.44,Highly Job Ready
5.49,8.08,7.51,7.03,6.48,Job Ready
5.95,7.89,5.78,5.14,5.63,Needs Improvement
6.48,5.91,4.61,5.64,7.11,Needs Improvement
8.69,9.48,9.32,9.46,7.0,Highly Job Ready
8.23,8.75,8.63,8.47,8.51,Highly Job Ready
5.37,7.89,5.76,7.66,7.12,Job Ready
6.07,7.96,7.72,8.39,7.12,Job Ready
8.04,5.46,5.4,5.91,6.74,Needs Improvement
3.51,4.45,2.31,4.21,6.0,Not Ready
8.49,6.09,7.13,8.19,7.27,Job Ready
3.93,3.8,5.49,0.98,2.17,Not Ready
2.32,2.54,5.91,7.14,2.45,Not Ready
4.75,4.12,5.37,3.86,4.37,Not Ready
6.1,7.69,7.48,7.11,7.27,Job Ready
5.43,6.53,5.57,5.44,4.89,Needs Improvement
7.76,7.09,4.0,7.15,6.69,Needs Improvement
8.62,9.14,8.95,8.45,7.54,Highly Job Ready
8.57,8.43,10.0,8.37,7.46,Highly Job Ready
5.89,4.86,5.75,5.81,6.88,Needs Improvement
4.76,2.26,3.33,3.13,3.75,Not Ready
6.72,8.1,4.48,7.19,5.87,Needs Improvement
3.41,2.18,1.53,3.5,3.86,Not Ready
2.22,3.44,4.22,4.5,3.64,Not Ready
6.82,6.95,6.91,8.35,7.27,Job Ready
6.75,7.18,6.96,7.77,8.81,Job Ready
8.21,7.95,8.43,5.66,7.52,Job Ready
3.19,4.07,3.83,5.64,3.52,Not Ready
7.71,8.72,8.04,9.73,8.05,Highly Job Ready
3.46,3.88,3.0,4.94,2.44,Not Ready
4.13,6.47,5.54,3.45,3.12,Not Ready
4.04,4.82,4.36,5.18,4.13,Not Ready
7.37,5.63,6.23,6.32,4.82,Needs Improvement
9.34,7.08,9.12,9.49,8.43,Highly Job Ready
5.83,8.6,8.47,7.81,6.54,Job Ready
3.28,3.88,2.31,5.76,5.09,Not Ready
4.27,4.25,2.47,3.98,4.98,Not Ready
7.05,7.27,8.06,6.74,7.19,Job Ready
4.9,6.74,6.21,5.37,5.94,Needs Improvement
4.33,2.04,4.06,4.65,4.23,Not Ready
4.65,6.73,5.87,4.98,6.57,Needs Improvement
6.83,7.63,7.32,7.04,7.02,Job Ready
9.4,9.39,9.78,7.72,8.21,Highly Job Ready
8.07,7.7,8.8,10.0,9.62,Highly Job Ready
5.23,7.03,1.83,2.95,3.09,Not Ready
5.37,4.83,2.97,2.07,0.39,Not Ready
9.11,9.1,10.0,9.2,9.54,Highly Job Ready
3.53,3.45,3.92,5.75,2.26,Not Ready
9.18,9.48,9.2,10.0,8.42,Highly Job Ready
5.1,4.51,4.49,4.4,2.54,Not Ready
9.4,7.64,8.49,8.82,10.0,Highly Job Ready
7.59,7.7,8.12,7.12,7.16,Job Ready
9.17,9.2,9.38,9.0,8.04,Highly Job Ready
5.0,2.19,3.04,6.01,5.1,Not Ready
7.03,7.65,7.69,6.81,7.7,Job Ready
6.12,3.75,5.76,4.83,5.9,Needs Improvement
7.89,7.18,6.62,7.81,7.25,Job Ready
5.14,4.26,5.29,6.64,5.29,Needs Improvement
4.98,6.53,6.22,6.23,6.07,Needs Improvement
8.53,9.94,8.04,8.43,8.21,Highly Job Ready
4.58,4.82,5.74,5.45,7.13,Needs Improvement
6.66,6.08,7.5,4.38,5.79,Needs Improvement
7.48,8.51,6.31,7.05,8.53,Job Ready
2.13,5.34,5.24,3.51,4.22,Not Ready
4.05,5.89,7.69,5.69,4.15,Needs Improvement
7.69,9.01,7.47,8.6,9.57,Highly Job Ready
5.89,5.66,5.77,4.43,4.89,Needs Improvement
7.3,6.38,7.08,7.19,6.74,Job Ready
6.64,8.23,6.96,6.41,6.94,Job Ready
5.04,5.18,3.6,1.35,4.51,Not Ready
6.88,5.41,6.37,6.67,7.36,Job Ready
2.47,3.29,3.59,3.06,4.48,Not Ready
7.2,7.47,6.33,6.99,6.1,Job Ready
8.06,7.29,7.03,7.09,8.14,Job Ready
5.65,7.16,7.1,6.03,5.02,Needs Improvement
6.98,5.17,6.69,5.06,7.53,Needs Improvement
9.14,8.18,8.18,9.04,8.04,Highly Job Ready
9.48,7.2,6.93,8.16,7.5,Job Ready
1.14,3.86,3.26,4.33,4.61,Not Ready
9.18,8.36,8.71,8.53,7.1,Highly Job Ready
2.69,2.97,6.25,2.86,4.76,Not Ready
7.81,8.96,9.13,8.97,8.29,Highly Job Ready
6.71,5.69,6.37,8.16,9.2,Job Ready
9.11,8.19,8.17,9.26,8.39,Highly Job Ready
4.52,5.77,6.41,2.61,3.88,Not Ready
4.16,3.34,4.08,4.11,2.49,Not Ready
2.63,3.86,3.49,3.41,4.51,Not Ready
7.21,6.02,5.6,7.93,6.66,Job Ready
7.19,6.45,9.29,8.2,7.53,Job Ready
8.57,9.35,8.51,8.68,8.52,Highly Job Ready
3.84,1.46,4.04,4.68,3.48,Not Ready
8.96,9.4,8.45,8.28,9.68,Highly Job Ready
10.0,7.93,8.72,7.87,8.55,Highly Job Ready
8.36,7.82,7.7,8.88,9.16,Highly Job Ready
6.75,4.91,4.94,5.73,5.37,Needs Improvement
3.2,2.71,5.3,4.53,4.5,Not Ready
7.59,8.55,6.81,6.75,7.26,Job Ready
3.11,3.81,4.71,4.01,3.05,Not Ready
9.85,9.85,9.28,9.26,10.0,Highly Job Ready
8.48,7.87,6.92,6.42,8.27,Job Ready
6.06,4.94,6.2,5.67,5.22,Needs Improvement
7.95,6.43,7.33,7.34,9.28,Job Ready
8.13,6.82,7.39,6.75,7.64,Job Ready
4.0,4.14,3.37,1.78,4.18,Not Ready
3.09,3.77,3.08,2.57,3.39,Not Ready
8.93,8.96,8.6,9.41,9.68,Highly Job Ready
5.5,2.94,2.85,4.03,4.77,Not Ready
3.57,3.14,4.09,3.22,3.08,Not Ready
7.83,9.1,6.92,7.41,6.74,Job Ready
8.19,8.68,9.21,8.27,9.83,Highly Job Ready
7.96,7.86,7.44,6.14,8.82,Job Ready
8.53,8.18,9.63,9.15,9.01,Highly Job Ready
4.83,6.3,5.91,5.98,7.65,Needs Improvement
5.17,3.62,4.43,2.99,3.66,Not Ready
4.06,6.7,5.96,2.82,3.47,Not Ready
8.69,8.81,9.15,8.9,8.62,Highly Job Ready
8.93,8.87,9.89,8.39,9.63,Highly Job Ready
3.4,4.09,4.77,4.17,5.25,Not Ready
5.84,6.89,5.82,4.66,6.32,Needs Improvement
3.92,5.31,1.96,2.36,1.96,Not Ready
8.12,8.1,9.29,7.82,9.17,Highly Job Ready
7.49,8.12,6.99,7.34,8.3,Job Ready
6.41,6.43,4.35,5.58,4.26,Needs Improvement
8.75,9.84,8.51,8.49,7.69,Highly Job Ready
5.9,7.06,8.43,7.69,9.02,Job Ready
6.85,7.1,7.18,6.44,8.38,Job Ready
5.13,4.58,4.37,5.61,5.24,Needs Improvement
3.62,2.61,1.87,3.24,3.74,Not Ready
7.78,5.72,8.38,7.83,8.06,Job Ready
8.24,8.76,9.72,9.2,10.0,Highly Job Ready
6.92,6.86,6.72,5.55,8.39,Job Ready
4.67,5.97,4.52,4.66,4.81,Needs Improvement
8.1,6.28,7.15,7.27,7.91,Job Ready
7.96,6.41,7.2,5.97,5.73,Needs Improvement
8.35,8.92,7.48,8.79,9.0,Highly Job Ready
8.03,7.95,9.62,8.98,8.65,Highly Job Ready
7.96,8.59,8.19,9.1,9.09,Highly Job Ready
8.77,8.69,8.29,9.37,8.76,Highly Job Ready
3.54,4.08,4.0,2.55,3.9,Not Ready
8.85,8.94,8.34,8.69,9.0,Highly Job Ready
5.99,3.84,5.82,3.69,3.95,Not Ready
4.04,2.98,5.31,3.44,1.58,Not Ready
6.87,5.01,5.73,4.07,6.87,Needs Improvement
8.3,6.33,5.36,6.24,4.84,Needs Improvement
8.44,8.94,8.84,9.11,8.74,Highly Job Ready
6.26,5.93,5.71,5.01,5.73,Needs Improvement
9.59,10.0,9.25,8.86,7.96,Highly Job Ready
4.65,5.49,5.84,7.49,5.33,Needs Improvement
4.64,2.73,2.65,3.84,4.0,Not Ready
5.34,7.59,5.8,3.68,6.14,Needs Improvement
8.18,9.54,8.88,8.53,8.77,Highly Job Ready
6.95,5.49,5.6,6.43,5.24,Needs Improvement
3.13,1.18,4.54,3.67,2.64,Not Ready
8.9,9.25,9.71,8.78,10.0,Highly Job Ready
3.9,4.05,3.5,5.5,2.76,Not Ready
5.96,3.6,4.28,3.53,3.89,Not Ready
7.63,7.72,8.58,6.4,6.83,Job Ready
8.51,9.42,8.67,7.83,7.71,Highly Job Ready
7.74,6.97,6.62,6.64,6.84,Job Ready
3.15,3.08,5.32,4.18,3.56,Not Ready
6.96,9.21,8.87,8.86,8.54,Highly Job Ready
4.53,4.54,6.31,4.52,5.59,Needs Improvement
5.86,5.91,5.95,6.79,4.77,Needs Improvement
9.02,9.6,9.59,8.51,8.93,Highly Job Ready
2.91,3.09,3.05,3.15,5.06,Not Ready
8.77,8.89,8.62,8.46,8.44,Highly Job Ready
8.98,9.25,8.89,9.24,9.29,Highly Job Ready
6.33,4.41,4.75,5.01,4.99,Needs Improvement
1.55,3.79,3.55,3.68,3.77,Not Ready
2.76,5.61,1.84,2.14,5.08,Not Ready
8.2,6.71,7.83,7.08,8.64,Job Ready
9.04,9.37,8.94,9.16,8.59,Highly Job Ready
2.32,4.62,4.08,3.09,5.47,Not Ready
5.07,4.65,8.01,6.58,5.48,Needs Improvement
9.01,7.94,8.75,8.04,8.07,Highly Job Ready
9.26,9.65,8.37,9.01,8.03,Highly Job Ready
6.41,6.98,6.13,8.1,7.22,Job Ready
6.49,7.21,8.06,7.8,7.45,Job Ready
5.1,6.22,3.14,3.78,5.9,Not Ready
2.0,4.25,1.78,4.66,3.95,Not Ready
5.91,5.51,5.0,6.47,6.98,Needs Improvement
3.47,3.68,4.06,4.51,2.65,Not Ready
4.5,4.87,5.11,5.46,4.51,Needs Improvement
1.29,3.97,4.17,5.19,5.61,Not Ready
8.22,8.88,8.82,8.17,8.33,Highly Job Ready
4.13,3.51,3.75,3.89,3.02,Not Ready
6.66,8.57,7.12,7.9,5.19,Job Ready
1.64,2.56,4.81,4.11,4.27,Not Ready
8.05,9.65,9.53,8.73,7.89,Highly Job Ready
8.67,8.54,8.85,8.39,8.43,Highly Job Ready
2.4,3.03,4.16,5.13,4.5,Not Ready
8.95,7.95,8.43,8.56,9.18,Highly Job Ready
7.37,7.8,10.0,8.09,9.73,Highly Job Ready
7.01,9.22,8.13,9.1,9.71,Highly Job Ready
3.29,4.93,4.12,3.0,2.8,Not Ready
8.76,9.08,8.9,7.04,8.59,Highly Job Ready
8.88,8.68,9.63,8.8,7.98,Highly Job Ready
8.02,7.93,7.76,7.36,6.85,Job Ready
7.44,6.79,6.83,7.2,7.26,Job Ready
6.61,5.4,6.58,4.47,4.89,Needs Improvement
4.25,4.37,4.85,4.03,4.36,Not Ready
9.09,8.49,8.88,9.7,8.69,Highly Job Ready
7.7,6.18,7.66,8.07,6.87,Job Ready
6.71,6.97,5.74,5.6,5.49,Needs Improvement
5.02,6.98,6.07,3.98,6.79,Needs Improvement
8.02,7.48,7.51,7.42,6.24,Job Ready
5.8,6.04,6.21,7.77,5.0,Needs Improvement
6.85,7.81,8.79,8.76,9.21,Highly Job Ready
9.31,7.79,7.97,9.13,9.49,Highly Job Ready
8.68,9.82,8.53,8.92,9.19,Highly Job Ready
4.71,4.5,3.55,1.68,3.28,Not Ready
7.16,6.04,6.61,6.48,6.39,Needs Improvement
6.46,7.16,5.36,6.26,5.57,Needs Improvement
5.18,5.37,5.57,7.02,4.0,Needs Improvement
7.27,7.84,5.03,7.47,7.26,Job Ready
9.22,9.56,8.58,9.58,7.91,Highly Job Ready
0.95,2.65,5.22,0.61,3.4,Not Ready
6.15,7.29,6.28,4.12,6.23,Needs Improvement
5.98,4.85,4.34,4.72,5.76,Needs Improvement
2.28,3.24,4.28,3.68,3.05,Not Ready
4.12,6.32,6.58,6.21,5.59,Needs Improvement
5.9,4.46,4.55,4.49,6.27,Needs Improvement
4.1,1.83,2.98,4.69,3.48,Not Ready
6.77,6.72,7.38,8.16,9.24,Job Ready
9.08,7.61,8.46,9.25,8.39,Highly Job Ready
4.57,4.79,5.59,2.79,3.54,Not Ready
7.14,7.1,7.31,7.98,8.7,Job Ready
8.57,6.59,7.42,7.14,7.25,Job Ready
7.36,7.0,5.82,5.52,5.67,Needs Improvement
5.2,6.33,5.93,5.37,4.8,Needs Improvement
9.88,8.31,8.63,9.03,9.12,Highly Job Ready
6.35,6.2,5.47,5.03,6.32,Needs Improvement
4.07,4.07,4.11,2.81,3.63,Not Ready
6.27,7.77,6.6,8.23,6.2,Job Ready
4.77,1.99,3.04,2.47,2.69,Not Ready
4.69,4.3,3.37,3.65,2.22,Not Ready
4.8,5.5,5.86,5.31,3.67,Not Ready
7.16,8.75,9.53,9.83,8.23,Highly Job Ready
6.89,5.76,4.47,6.72,5.45,Needs Improvement
6.54,2.53,3.68,5.87,5.17,Not Ready
8.93,7.0,7.63,5.97,8.59,Job Ready
4.28,7.14,5.15,7.73,5.77,Needs Improvement
7.26,7.01,7.83,6.69,7.14,Job Ready
8.87,8.07,8.87,8.06,9.57,Highly Job Ready
6.7,8.36,8.56,6.32,6.91,Job Ready
7.44,7.51,7.72,6.81,6.16,Job Ready
8.29,8.0,8.36,7.26,8.16,Job Ready
7.59,7.0,6.91,6.16,7.37,Job Ready
3.91,6.49,3.37,4.17,2.88,Not Ready
8.5,7.79,8.7,8.54,9.56,Highly Job Ready
6.25,7.87,7.42,9.5,8.54,Job Ready
4.69,6.52,5.52,3.41,3.78,Needs Improvement
8.9,8.95,8.93,9.45,9.17,Highly Job Ready
10.0,8.95,8.39,8.66,9.11,Highly Job Ready
7.62,7.51,7.08,7.54,8.15,Job Ready
6.87,6.94,6.11,7.22,6.8,Needs Improvement
4.25,4.43,4.07,4.91,3.9,Not Ready
8.91,8.66,9.79,8.49,9.05,Highly Job Ready
6.24,4.07,1.66,2.65,1.8,Not Ready
5.66,3.95,2.65,3.67,3.76,Not Ready
8.48,7.68,7.21,7.83,7.36,Job Ready
6.62,6.0,4.31,6.53,7.0,Needs Improvement
7.68,6.96,8.01,7.43,7.97,Job Ready
6.09,6.65,6.51,6.88,5.8,Needs Improvement
6.45,4.93,7.44,6.31,5.43,Needs Improvement
7.22,7.49,6.95,7.59,7.32,Job Ready
7.28,5.62,7.04,6.13,6.25,Needs Improvement
6.84,8.56,7.39,6.82,6.33,Job Ready
2.68,2.75,4.44,3.55,4.54,Not Ready
6.36,5.8,6.75,6.06,6.77,Job Ready
4.81,4.69,3.88,5.1,4.34,Not Ready
7.45,7.08,9.38,8.41,6.69,Job Ready
8.7,8.3,8.8,8.62,8.4,Highly Job Ready
8.73,9.28,8.46,8.26,9.27,Highly Job Ready
4.27,3.26,6.53,1.8,4.03,Not Ready
9.52,8.7,7.22,9.05,9.76,Highly Job Ready
8.61,9.15,8.72,7.59,8.32,Highly Job Ready
5.36,2.94,3.07,4.51,1.12,Not Ready
4.91,4.14,1.97,3.66,4.65,Not Ready
4.63,5.44,3.27,3.92,1.49,Not Ready
5.58,5.63,6.37,5.67,5.54,Needs Improvement
7.6,5.5,8.06,6.72,8.34,Job Ready
1.67,3.59,3.82,3.55,2.86,Not Ready
4.34,3.37,3.22,3.33,3.51,Not Ready
3.43,2.8,3.94,3.14,3.61,Not Ready
6.14,6.48,5.71,6.83,5.81,Needs Improvement
3.75,5.28,4.27,4.7,2.76,Not Ready
5.72,4.98,5.87,5.21,4.9,Needs Improvement
4.07,3.97,4.47,6.31,4.12,Not Ready
5.71,7.27,5.61,6.05,4.54,Needs Improvement
5.78,5.02,4.17,5.38,6.52,Needs Improvement
8.21,8.87,7.08,7.33,6.86,Job Ready
7.53,8.74,9.75,8.29,8.66,Highly Job Ready
2.05,4.98,2.63,3.92,3.52,Not Ready
6.18,6.58,5.12,6.8,4.36,Needs Improvement
2.32,3.76,3.86,1.32,2.75,Not Ready
4.23,2.5,5.33,5.23,4.9,Not Ready
6.42,7.43,6.99,6.16,7.87,Job Ready
9.19,8.53,8.19,8.85,8.96,Highly Job Ready
7.78,7.87,6.06,7.69,6.44,Job Ready
4.91,5.54,2.88,4.15,2.97,Not Ready
3.6,4.91,3.76,4.41,3.57,Not Ready
6.47,6.15,7.1,6.66,7.47,Job Ready
8.5,6.3,6.33,7.1,7.03,Job Ready
4.0,6.12,5.98,6.33,4.53,Needs Improvement
2.0,2.97,3.13,3.38,2.22,Not Ready
4.13,4.31,4.95,4.68,6.1,Needs Improvement
2.46,3.84,3.97,3.26,4.3,Not Ready
8.79,9.24,8.68,9.55,8.52,Highly Job Ready
4.02,6.34,3.2,4.29,5.03,Not Ready
9.28,8.68,8.63,8.92,9.37,Highly Job Ready
4.84,5.13,5.47,4.44,5.4,Needs Improvement
5.38,6.52,6.09,6.36,5.74,Needs Improvement
5.56,6.61,6.02,6.02,4.73,Needs Improvement
8.28,7.27,6.32,8.61,6.99,Job Ready
4.86,4.56,6.0,2.92,2.21,Not Ready
9.86,9.26,7.9,8.93,10.0,Highly Job Ready
4.33,5.51,6.84,6.32,4.56,Needs Improvement
8.18,8.61,8.7,8.51,9.33,Highly Job Ready
4.99,6.42,5.01,4.11,6.77,Needs Improvement
7.33,5.9,5.21,5.21,5.18,Needs Improvement
8.32,8.96,7.95,8.48,7.95,Job Ready
7.74,8.71,7.9,8.98,9.87,Highly Job Ready
9.06,8.52,9.42,8.76,9.92,Highly Job Ready
7.07,5.69,6.8,4.95,7.5,Job Ready
2.94,4.26,4.44,3.08,4.94,Not Ready
8.45,9.71,9.19,8.78,9.15,Highly Job Ready
6.9,6.12,7.9,8.25,7.04,Job Ready
